file,type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,distance,doc_time_elapsed,doc_name,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_label
medical_1,wrong_15,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusï½,1.3,26-35 (1.10),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (4.30)",Moderate (2.30),Democrat (0.70),No opinion either way (0.80),Agree (1.70),wrong value (0.40),wrong value (0.40),wrong value (0.50),3.5,1.9,1.0,57.27,1.9,185.062,pants-on-fire_doc5,Bloggers,2020-26-02,Internet Posts,pants-on-fire
medical_1,wrong_15,Church services canï½t resume until weï½re all vaccinated says Bill Gates,1.2,26-35 (1.00),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.10)",Moderate (2.50),Democrat (0.90),No opinion either way (0.90),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.50),2.6,2.7,1.7,68.77,1.9,252.748,false_doc8,Bloggers,9/4/2020,Blog Post,FALSE
medical_1,wrong_15,The government is closing businesses to stop the spread of coronavirus even though the numbers are nothing compared to H1N1 or Ebola Everyone needs to realize our government is up to something,1.1,26-35 (1.20),4 year college/bachelor degree (2.20),"50,000 to less than 75,000 (5.30)",Moderate (2.50),Democrat (0.80),Disagree (0.50),Agree (1.80),wrong value (0.50),wrong value (0.30),wrong value (0.50),5.4,2.0,1.1,39.0,2.0,310.55,pants-on-fire_doc8,Facebook User,2020-16-03,Facebook Post,pants-on-fire
medical_1,wrong_15,This particular pandemic is one where I donï½t think nationwide thereï½s been a single fatality under 25,1.0,36-50 (1.50),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.30)",Liberal (2.70),Democrat (0.70),No opinion either way (0.70),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.50),3.0,2.2,1.1,45.76,2.2,283.66,pants-on-fire_doc7,Ron Desantis,9/4/2020,Meeting,pants-on-fire
medical_1,wrong_15,We inherited a broken testï½ for COVID19,1.2,26-35 (1.00),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.10)",Moderate (2.50),Democrat (0.90),No opinion either way (0.90),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.50),3.3,3.2,1.2,64.37,3.2,166.318,pants-on-fire_doc2,Donald Trump,2020-30-03,"Interview on ""Fox and Friends""",pants-on-fire
medical_2,wrong_15,Church services canât resume until weâre all vaccinated says Bill Gates,1.1,36-50 (1.50),4 year college/bachelor degree (1.50),"40,000 to less than 50,000 (4.10)",Moderate (2.40),Democrat (1.20),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.30),2.6,2.7,1.1,68.77,1.7,178.78400000000002,false_doc8,Bloggers,9/4/2020,Blog Post,FALSE
medical_2,wrong_15,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusâ,1.1,26-35 (1.40),4 year college/bachelor degree (1.90),"50,000 to less than 75,000 (5.00)",Moderate (2.50),Democrat (1.00),No opinion either way (0.80),Agree (1.70),correct value (0.60),wrong value (0.40),wrong value (0.20),3.5,1.8,1.0,57.27,1.8,162.55599999999998,pants-on-fire_doc5,Bloggers,2020-26-02,Internet Posts,pants-on-fire
medical_2,wrong_15,This particular pandemic is one where I donât think nationwide thereâs been a single fatality under 25,1.0,26-35 (0.90),Some college (etc.) (1.40),"50,000 to less than 75,000 (5.00)",Liberal (2.70),Democrat (0.90),No opinion either way (0.80),Agree (1.80),correct value (0.80),wrong value (0.50),wrong value (0.40),3.0,1.9,1.2,45.76,1.9,127.748,pants-on-fire_doc7,Ron Desantis,9/4/2020,Meeting,pants-on-fire
medical_2,wrong_15,We inherited a broken testâ for COVID19,1.1,36-50 (1.50),4 year college/bachelor degree (1.50),"40,000 to less than 50,000 (4.10)",Moderate (2.40),Democrat (1.20),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.30),3.3,1.9,1.0,64.37,1.9,123.355,pants-on-fire_doc2,Donald Trump,2020-30-03,"Interview on ""Fox and Friends""",pants-on-fire
medical_2,wrong_15,The government is closing businesses to stop the spread of coronavirus even though the numbers are nothing compared to H1N1 or Ebola Everyone needs to realize our government is up to something,1.0,26-35 (1.10),4 year college/bachelor degree (2.10),"40,000 to less than 50,000 (4.50)",Moderate (1.90),Democrat (1.00),No opinion either way (1.30),Agree (1.90),wrong value (0.20),wrong value (0.00),wrong value (0.40),5.4,2.4,1.0,39.0,2.4,135.478,pants-on-fire_doc8,Facebook User,2020-16-03,Facebook Post,pants-on-fire
medical_3,wrong_15,Church services cant resume until were all vaccinated says Bill Gates,1.3,36-50 (1.70),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.70)",Moderate (1.50),Republican (0.50),Agree (1.90),Agree (1.80),wrong value (0.20),wrong value (0.10),wrong value (0.50),2.6,3.2,1.0,68.77,2.4,461.13499999999993,false_doc8,Bloggers,9/4/2020,Blog Post,FALSE
