type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,distance,doc_time_elapsed,doc_name,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_label
correct_15,So Oscar Health the company tapped by Trump to profit from covid tests is a Kushner company Imagine that profits over national safety,1.1,36-50 (1.50),4 year college/bachelor degree (1.50),"40,000 to less than 50,000 (4.10)",Moderate (2.40),Democrat (1.20),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.30),4.0,2.6,1.1,48.13,0.4,213.712,half-true_doc3,Facebook Post,2020-15-03,Facebook Posts,half-true
correct_15,Whole of Italy goes into quarantine,1.1,26-35 (1.40),4 year college/bachelor degree (1.90),"50,000 to less than 75,000 (5.00)",Moderate (2.50),Democrat (1.00),No opinion either way (0.80),Agree (1.70),correct value (0.60),wrong value (0.40),wrong value (0.20),3.4,4.6,1.1,73.85,0.4,117.58600000000001,true_doc7,Blog Post,10/3/2020,Bloggers,TRUE
correct_15,Nonessential people get to file for unemployment and make two to three times more than normalâ but essential workers still on the job get no pay raise,1.1,26-35 (1.10),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.20),Democrat (1.40),No opinion either way (1.00),Agree (1.60),wrong value (0.50),wrong value (0.40),correct value (0.60),3.7,2.9,1.0,69.45,0.5,173.589,half-true_doc10,Facebook Post,1/4/2020,Facebook posts,half-true
correct_15,Bill Gates and other globalists in collaboration with pharmaceutical companies are reportedly working to push tracking bracelets andinvisible tattoosâ to monitor Americans during an impending lockdown,1.1,26-35 (1.20),4 year college/bachelor degree (2.30),"75,000 to less than 100,000 (5.50)",Moderate (2.20),Democrat (1.40),No opinion either way (0.80),Agree (1.50),wrong value (0.30),wrong value (0.30),correct value (0.60),4.5,2.2,1.0,-5.68,0.6,180.515,mostly-false_doc8,Instagram Post,2020-18-03,Instagram Posts,mostly-false
correct_15,It has been estimated that only 12 of workers in businesses that are likely to stay open during this crisis are receiving paid sick leave benefits as a result of the second coronavirus relief package,1.1,26-35 (1.10),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.20),Democrat (1.40),No opinion either way (1.00),Agree (1.60),wrong value (0.50),wrong value (0.40),correct value (0.60),1.4,4.2,1.0,35.95,0.6,298.03,mostly-true_doc8,Bernie Sanders,8/4/2020,The Guardian,mostly-true
correct_15,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsâ,1.0,36-50 (1.50),4 year college/bachelor degree (1.80),"75,000 to less than 100,000 (5.90)",Moderate (1.80),Democrat (1.00),No opinion either way (0.80),Agree (1.80),wrong value (0.40),wrong value (0.50),wrong value (0.40),4.0,0.6,1.0,19.03,0.6,181.096,pants-on-fire_doc10,Bloggers,2020-31-03,Blog Post,pants-on-fire
correct_15,Ron Johnson said Americans should go back to work becausedeath is an unavoidable part of lifeï½,1.1,26-35 (1.00),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (4.20)",Moderate (2.50),Democrat (1.30),Disagree (0.50),Agree (1.70),wrong value (0.50),wrong value (0.40),correct value (0.60),3.9,2.8,1.0,72.16,0.6,163.174,half-true_doc1,Facebook Post,2020-31-03,Facebook Posts,half-true
correct_15,Saysspecial military helicopters will spray pesticide against the Corona virus in the skies all over the countryâ,1.0,36-50 (1.50),4 year college/bachelor degree (1.80),"75,000 to less than 100,000 (5.90)",Moderate (1.80),Democrat (1.00),No opinion either way (0.80),Agree (1.80),wrong value (0.40),wrong value (0.50),wrong value (0.40),3.0,0.4,1.0,62.67999999999999,0.6,186.526,false_doc6,Snapchat,2020-23-03,Chain Message,FALSE
correct_15,the US is developing anantivirusï½ that includes a chip to track your movement,1.1,26-35 (1.00),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (4.20)",Moderate (2.50),Democrat (1.30),Disagree (0.50),Agree (1.70),wrong value (0.50),wrong value (0.40),correct value (0.60),3.5,0.6,1.0,66.74,0.6,183.686,pants-on-fire_doc9,Facebook User,2020-16-03,Facebook Post,pants-on-fire
correct_15,Bill Gates told us about the coronavirus in 2015,1.0,26-35 (1.10),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (4.00)",Liberal (2.80),Democrat (1.20),Disagree (0.20),Agree (2.00),wrong value (0.40),correct value (0.70),wrong value (0.30),3.5,3.3,1.0,96.18,0.7,116.045,mostly-true_doc4,Facebook Post,2020-15-03,Facebook Posts,mostly-true
correct_15,Says a California surfer wasalone in the oceanâ when he was arrested for violating the stateâs stayathome order,1.1,36-50 (1.50),4 year college/bachelor degree (1.50),"40,000 to less than 50,000 (4.10)",Moderate (2.40),Democrat (1.20),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.30),3.8,3.9,1.0,44.75,0.7,158.38666666666666,mostly-true_doc9,Viral Image,8/4/2020,Viral Image,mostly-true
