type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,distance,doc_time_elapsed,doc_name,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_label
correct_15,Nonessential people get to file for unemployment and make two to three times more than normalâ but essential workers still on the job get no pay raise,1.2,26-35 (1.10),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.10)",Moderate (1.80),Democrat (0.60),Agree (1.80),Agree (1.80),wrong value (0.10),wrong value (0.30),wrong value (0.40),3.7,3.6,1.1,69.45,0.6,151.477,half-true_doc10,Facebook Post,1/4/2020,Facebook posts,half-true
correct_15,45 nations had already movedâ to enforce travel restrictions with Chinabefore the president moved,2.6,36-50 (1.50),4 year college/bachelor degree (2.10),"30,000 to less than 40,000 (3.40)",Moderate (2.10),Republican (0.40),Agree (1.80),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.30),4.3,3.4,2.4,57.27,0.8,135.241,half-true_doc8,Joe Biden,5/4/2020,"ABC ""This Week"" interview",half-true
correct_15,Weâve got to give the American public a rough estimate of how long we think this is going to take based mostly on the South Korean model which seems to be the trajectory that we are on thankfully and not the Italian model,2.0,26-35 (0.70),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (1.00),Agree (1.90),Agree (1.80),wrong value (0.00),wrong value (0.00),wrong value (0.30),4.6,2.8,2.0,44.75,0.8,214.92400000000004,half-true_doc4,Brian Fitzpatrick,2020-23-03,Comments On The Radio,half-true
correct_15,Says a California surfer wasalone in the oceanâ when he was arrested for violating the stateâs stayathome order,1.5,26-35 (1.12),4 year college/bachelor degree (2.12),"40,000 to less than 50,000 (4.00)",Conservative (1.25),Republican (0.50),Agree (1.75),Agree (2.00),wrong value (0.25),wrong value (0.12),wrong value (0.12),3.125,3.375,1.5,44.75,0.875,204.81125,mostly-true_doc9,Viral Image,8/4/2020,Viral Image,mostly-true
correct_15,So Oscar Health the company tapped by Trump to profit from covid tests is a Kushner company Imagine that profits over national safety,1.5,26-35 (1.12),4 year college/bachelor degree (2.12),"40,000 to less than 50,000 (4.00)",Conservative (1.25),Republican (0.50),Agree (1.75),Agree (2.00),wrong value (0.25),wrong value (0.12),wrong value (0.12),4.25,3.125,1.0,48.13,0.875,38.582499999999996,half-true_doc3,Facebook Post,2020-15-03,Facebook Posts,half-true
correct_15,2019 coronavirus can live forup to 3 hours in the air up to 4 hours on copper up to 24 hours on cardboard up to 3 days on plastic and stainless steel,1.5,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.60)","50,000 to less than 75,000 (4.70)",Conservative (1.40),Democrat (0.70),Agree (1.80),Agree (2.00),wrong value (0.30),wrong value (0.00),wrong value (0.10),4.2,3.7,1.2,72.84,0.9,160.358,mostly-true_doc3,Facebook Post,2020-18-03,Facebook Posts,mostly-true
correct_15,Three Chinese nationals were apprehended trying to cross our Southern border illegally Each had flulike symptoms Border Patrol quickly quarantined them and assessed any threat of coronavirus,1.7,36-50 (1.80),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (4.10)",Moderate (1.60),Democrat (0.80),Agree (1.60),Agree (2.00),wrong value (0.30),wrong value (0.10),wrong value (0.10),1.8,3.5,1.1,27.15,0.9,132.27666666666667,mostly-true_doc7,Charlie Kirk,2020-24-02,Tweet,mostly-true
correct_15,Bill Gates told us about the coronavirus in 2015,2.0,26-35 (0.70),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (1.00),Agree (1.90),Agree (1.80),wrong value (0.00),wrong value (0.00),wrong value (0.30),3.5,3.4,1.6,96.18,1.0,70.70333333333332,mostly-true_doc4,Facebook Post,2020-15-03,Facebook Posts,mostly-true
correct_15,Says Spectrum will provide free internet to students during coronavirus school closures,1.2,26-35 (1.10),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.10)",Moderate (1.80),Democrat (0.60),Agree (1.80),Agree (1.80),wrong value (0.10),wrong value (0.30),wrong value (0.40),4.3,4.0,1.3,42.38,1.0,174.60500000000002,true_doc5,Viral Image,2020-13-03,Facebook Post,TRUE
correct_15,Says truck drivers are being turned away from fastfood restaurants during the COVID19 pandemic,1.9,26-35 (1.10),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (1.90),Democrat (0.80),Agree (1.80),Agree (1.80),wrong value (0.50),wrong value (0.10),wrong value (0.50),4.1,3.0,2.1,65.73,1.0,117.043,mostly-true_doc2,Facebook Post,2020-20-03,Facebook Posts,mostly-true
