type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,doc_time_elapsed
correct_false_5,Saysthere is noâ COVID19 virus,1.7,36-50 (1.80),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (4.10)",Moderate (1.60),Democrat (0.80),Agree (1.60),Agree (2.00),wrong value (0.30),wrong value (0.10),wrong value (0.10),3.4,2.1,1.3,117.16,123.08444444444444
correct_false_5,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusâ,2.6,36-50 (1.50),4 year college/bachelor degree (2.10),"30,000 to less than 40,000 (3.40)",Moderate (2.10),Republican (0.40),Agree (1.80),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.30),3.5,2.5,2.0,57.27,144.283
correct_false_5,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,1.2,26-35 (1.10),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.10)",Moderate (1.80),Democrat (0.60),Agree (1.80),Agree (1.80),wrong value (0.10),wrong value (0.30),wrong value (0.40),4.3,2.5,1.1,62.67999999999999,151.913
correct_false_5,COVID literally stands for Chinese Originated Viral Infectious Disease,1.9,26-35 (1.10),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (1.90),Democrat (0.80),Agree (1.80),Agree (1.80),wrong value (0.50),wrong value (0.10),wrong value (0.50),2.4,2.7,1.3,11.58,174.2588888888889
correct_false_5,the US is developing anantivirusâ that includes a chip to track your movement,1.5,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.60)","50,000 to less than 75,000 (4.70)",Conservative (1.40),Democrat (0.70),Agree (1.80),Agree (2.00),wrong value (0.30),wrong value (0.00),wrong value (0.10),3.5,2.9,1.4,66.74,105.441
correct_true_5,Some states are only getting 50 tests per day and the Utah Jazz got 58,1.5,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.60)","50,000 to less than 75,000 (4.70)",Conservative (1.40),Democrat (0.70),Agree (1.80),Agree (2.00),wrong value (0.30),wrong value (0.00),wrong value (0.10),3.1,3.3,1.2,98.55,128.044
correct_true_5,My mask will keep someone else safe and their mask will keep me safe,1.0,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.60)","30,000 to less than 40,000 (3.20)",Moderate (1.80),Republican (0.50),Agree (1.80),Agree (1.70),wrong value (0.30),wrong value (0.20),wrong value (0.40),3.1,3.6,1.1,99.57,114.03299999999999
correct_true_5,Says most NC legislators are in the high risk age group for coronavirus,2.4,26-35 (1.20),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.70)",Moderate (1.90),Democrat (0.90),Agree (1.70),Agree (1.80),wrong value (0.50),wrong value (0.10),wrong value (0.10),3.3,3.6,2.5,75.2,380.083
correct_true_5,On February 7 the WHO warned about the limited stock of PPE That same day the Trump administration announced it was sending 18 tons of masks gowns and respirators to China,1.9,26-35 (1.10),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (1.90),Democrat (0.80),Agree (1.80),Agree (1.80),wrong value (0.50),wrong value (0.10),wrong value (0.50),2.6,3.8,1.0,48.47,127.49000000000001
correct_true_5,Says Spectrum will provide free internet to students during coronavirus school closures,1.2,26-35 (1.10),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.10)",Moderate (1.80),Democrat (0.60),Agree (1.80),Agree (1.80),wrong value (0.10),wrong value (0.30),wrong value (0.40),4.3,4.0,1.3,42.38,174.60500000000002
