type,unit_id,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_0_time_elapsed,q_1_farmers_question,q_1_farmers_value,q_1_time_elapsed,q_2_marks_question,q_2_marks_value,q_2_time_elapsed,q_3_athletics_question,q_3_athletics_value,q_3_time_elapsed,doc_index,doc_name,doc_statement,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_value,doc_ground_truth_label,doc_truthfulness_value,doc_truthfulness_url,doc_accesses,doc_time_elapsed
correct_false_5,unit_68,1,26-35,4 year college/bachelor degree,"20,000 to less than 30,000",Very liberal,Democrat,Disagree,Agree,33.23,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,23.1,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,15.99,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,31.94,6.0,pants-on-fire_doc3,Saysthere is noâ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,0.0,https://en.wikipedia.org/wiki/2019-nCoV_Acute_Respiratory_Disease,1.0,111.89
correct_false_5,unit_61,1,36-50,4 year college/bachelor degree,"50,000 to less than 75,000",Liberal,Independent,Disagree,Agree,65.09,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,47.21,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,41.96,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,61.12,3.0,pants-on-fire_doc3,Saysthere is noï½ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,0.0,https://www.factcheck.org/2020/04/social-media-posts-make-baseless-claim-on-covid-19-death-toll/,1.0,251.62
correct_false_5,unit_95,1,26-35,Some college (etc.),"50,000 to less than 75,000",Very liberal,Independent,Disagree,Agree,22.66,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,23.71,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,26.0,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,31.65,5.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,0.0,https://www.newsmax.com/newsfront/popefrancis-tests-negative-coronavirus/2020/03/28/id/960377/,1.0,117.98
correct_false_5,unit_0,1,19-25,4 year college/bachelor degree,"100,000 to less than 150,000",Liberal,Republican,No opinion either way,Agree,40.88,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,26.93,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,62.25,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,58.87,0.0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0.0,pants-on-fire,4.0,https://www.quora.com/Is-China-really-the-origin-of-COVID-19,1.0,245.3
correct_false_5,unit_48,1,26-35,Postgrad. or professional degree (etc.),"75,000 to less than 100,000",Liberal,Democrat,Disagree,Agree,37.56,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,43.56,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,17.18,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,40.03,0.0,pants-on-fire_doc10,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsï½,Bloggers,2020-31-03,Blog Post,0.0,pants-on-fire,1.0,https://www.reuters.com/article/uk-factcheck-coronavirus-italy-doctor-idUSKBN21L2Y9,1.0,249.98
correct_false_5,unit_90,1,0-18,Some college (etc.),"100,000 to less than 150,000",Very liberal,Independent,Disagree,Agree,19.98,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,35.37,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,14.24,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,24.94,5.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,0.0,https://nypost.com/2020/03/30/pope-francis-and-his-closest-aides-dont-have-coronavirus-vatican-says/,1.0,42.82
correct_false_5,unit_92,1,19-25,Some college (etc.),"100,000 to less than 150,000",Very liberal,Democrat,Disagree,Agree,30.89,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,18.88,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,78.22,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,40.35,0.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,0.0,https://www.snopes.com/fact-check/pope-francis-coronavirus/,1.0,177.12
correct_false_5,unit_7,1,36-50,4 year college/bachelor degree,"40,000 to less than 50,000",Very conservative,Democrat,No opinion either way,Agree,29.33,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,153.44,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,50.15,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,104.96,0.0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0.0,pants-on-fire,0.0,https://heavy.com/news/2020/03/what-does-covid-19-stand-for/,1.0,264.36
correct_false_5,unit_45,1,26-35,4 year college/bachelor degree,"75,000 to less than 100,000",Liberal,Republican,Agree,Agree,44.22,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,99.61,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,21.64,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,82.08,0.0,pants-on-fire_doc10,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsâ,Bloggers,2020-31-03,Blog Post,0.0,pants-on-fire,1.0,https://n5ti.com/italy-07099/,1.0,378.61
correct_false_5,unit_40,1,19-25,Some college (etc.),"150,000 or more",Conservative,Republican,No opinion either way,No opinion either way,24.68,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,18.18,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,13.42,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,15.52,0.0,pants-on-fire_doc10,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsï½,Bloggers,2020-31-03,Blog Post,0.0,pants-on-fire,1.0,https://www.reuters.com/article/uk-factcheck-coronavirus-italy-doctor-idUSKBN21L2Y9,1.0,93.68
correct_false_5,unit_49,1,19-25,4 year college/bachelor degree,"50,000 to less than 75,000",Conservative,Independent,No opinion either way,Agree,33.7,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,12.2,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,38.92,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,41.51,7.0,pants-on-fire_doc10,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsâ,Bloggers,2020-31-03,Blog Post,0.0,pants-on-fire,5.0,https://theindependentghana.com/2020/04/italy-arrest-doctor-for-intentionally-killing-over-3000-coronavirus-patients/,1.0,126.15
correct_false_5,unit_96,1,26-35,4 year college/bachelor degree,"50,000 to less than 75,000",Moderate,Independent,No opinion either way,Agree,21.67,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,109.93,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,56.25,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,45.99,1.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,3.0,https://www.snopes.com/fact-check/pope-francis-coronavirus/,1.0,335.99
