type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,doc_time_elapsed
correct_false_5,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,1.3,36-50 (1.80),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (0.60),No opinion either way (1.40),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.50),4.3,1.5,1.6,62.67999999999999,191.2
correct_false_5,COVID literally stands for Chinese Originated Viral Infectious Disease,1.2,26-35 (0.90),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (3.90)",Moderate (2.30),Democrat (1.10),No opinion either way (1.10),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.30),2.4,1.7,1.4,11.58,140.019
correct_false_5,If your child gets this virus their going to hospital alone in a van with people they dont knowto be with people they dont know you will be at home without them in their time of need,1.2,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.80)","75,000 to less than 100,000 (5.60)",Moderate (2.50),Democrat (1.00),No opinion either way (1.30),Agree (1.60),wrong value (0.40),wrong value (0.10),wrong value (0.30),1.8,1.8,1.0,66.952,204.15699999999998
correct_false_5,Saysthere is noâ COVID19 virus,1.3,26-35 (1.30),"Postgrad. or professional schooling, no degree (3.00)","50,000 to less than 75,000 (4.90)",Conservative (1.30),Democrat (0.90),No opinion either way (1.40),Agree (2.00),correct value (0.60),wrong value (0.40),wrong value (0.40),3.4,2.0,1.6,116.352,172.19400000000002
correct_false_5,Italy arrested a doctor for intentionally killing over 3000 coronavirus patients,1.3,36-50 (1.60),4 year college/bachelor degree (2.50),"50,000 to less than 75,000 (5.10)",Moderate (1.80),Democrat (1.10),No opinion either way (1.40),Agree (1.80),wrong value (0.30),wrong value (0.10),wrong value (0.30),4.0,2.1,1.4,30.160000000000004,149.32666666666668
correct_true_5,Photo shows a crowded New York City subway train during stayathome order,1.3,36-50 (1.70),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.70)",Moderate (1.50),Republican (0.50),Agree (1.90),Agree (1.80),wrong value (0.20),wrong value (0.10),wrong value (0.50),3.1,3.7,1.0,59.3,156.91555555555556
correct_true_5,My mask will keep someone else safe and their mask will keep me safe,1.3,36-50 (1.60),4 year college/bachelor degree (2.50),"50,000 to less than 75,000 (5.10)",Moderate (1.80),Democrat (1.10),No opinion either way (1.40),Agree (1.80),wrong value (0.30),wrong value (0.10),wrong value (0.30),3.1,4.0,1.2,99.57,225.65
correct_true_5,Says Spectrum will provide free internet to students during coronavirus school closures,1.3,36-50 (1.80),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (0.60),No opinion either way (1.40),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.50),4.3,4.0,1.3,42.38,249.91199999999998
correct_true_5,Some states are only getting 50 tests per day and the Utah Jazz got 58,1.4,26-35 (1.00),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (2.00),Democrat (0.70),Agree (1.50),Agree (2.00),wrong value (0.40),wrong value (0.40),wrong value (0.40),3.1,4.0,1.4,98.55,436.849
correct_true_5,On February 7 the WHO warned about the limited stock of PPE That same day the Trump administration announced it was sending 18 tons of masks gowns and respirators to China,1.2,26-35 (0.90),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (3.90)",Moderate (2.30),Democrat (1.10),No opinion either way (1.10),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.30),2.6,4.2,1.0,48.47,128.18
wrong_false_5,the US is developing an antivirus that includes a chip to track your movement,1.4,26-35 (1.00),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (2.00),Democrat (0.70),Agree (1.50),Agree (2.00),wrong value (0.40),wrong value (0.40),wrong value (0.40),3.5,2.3,1.2,71.955,152.36700000000002
wrong_false_5,A post say hair weave and lace fronts manufactured in China may contain the coronavirus,1.1,36-50 (1.60),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (0.60),No opinion either way (1.40),Agree (2.00),wrong value (0.20),wrong value (0.30),wrong value (0.30),3.5,3.3,1.0,63.221999999999994,159.416
wrong_false_5,This particular pandemic is one where I dont think nationwide theres been a single fatality under 25,1.1,26-35 (1.40),"Postgrad. or professional schooling, no degree (2.70)","40,000 to less than 50,000 (3.90)",Conservative (1.30),Democrat (0.70),Agree (1.90),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.40),3.0,3.5,1.0,45.76,112.398
wrong_false_5,The government is closing businesses to stop the spread of coronavirus even though the numbers are nothing compared to H1N1 or Ebola Everyone needs to realize our government is up to something ,1.0,36-50 (1.50),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (3.50)",Moderate (1.70),Democrat (0.60),Agree (1.70),Agree (2.00),correct value (0.80),wrong value (0.10),wrong value (0.40),5.4,3.8,1.0,39.0,116.872
wrong_false_5,We inherited a broken test for COVID19,1.3,36-50 (1.70),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.70)",Moderate (1.50),Republican (0.50),Agree (1.90),Agree (1.80),wrong value (0.20),wrong value (0.10),wrong value (0.50),3.3,3.9,1.3,64.37,132.85399999999998
