file,type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,distance,doc_time_elapsed,doc_name,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_label
medical_1,correct_15,Drinkingwater a lot and gargling with warm watersalt or vinegar eliminatesï½ the coronavirus,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),3.7,0.7,1.0,41.36,0.5,186.348,false_doc5,Viral Image,2020-13-03,Viral Image,FALSE
medical_1,correct_15,Harvard scientists say the coronavirus isspreading so fast that it will infect 70 of humanity this yearï½,1.1,26-35 (1.20),4 year college/bachelor degree (2.20),"50,000 to less than 75,000 (5.30)",Moderate (2.50),Democrat (0.80),Disagree (0.50),Agree (1.80),wrong value (0.50),wrong value (0.30),wrong value (0.50),2.3,3.3,1.0,54.220000000000006,0.7,340.334,half-true_doc5,Facebook Post,10/3/2020,Viral Image,half-true
medical_1,correct_15,My mask will keep someone else safe and their mask will keep me safe,1.0,26-35 (0.90),4 year college/bachelor degree (2.50),"50,000 to less than 75,000 (5.30)",Moderate (2.00),Democrat (1.00),No opinion either way (1.10),Agree (1.90),wrong value (0.30),wrong value (0.30),wrong value (0.30),3.1,4.3,1.1,99.57,0.7,217.272,true_doc2,Pat Toomey,2020-28-03,Video On Twitter,TRUE
medical_1,correct_15,COVID literally stands for Chinese Originated Viral Infectious Disease,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),2.4,0.8,1.0,11.58,0.8,200.125,pants-on-fire_doc4,Facebook Post,2020-25-03,Viral Image,pants-on-fire
medical_1,correct_15,Slices of lemon in a cup of hot water can save your life The hot lemon can kill the proliferation ofâ the novel coronavirus,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),3.4,1.4,1.0,72.5,0.8,142.951,false_doc3,Facebook Post,2020-23-03,Chain Message,FALSE
medical_1,correct_15,Some states are only getting 50 tests per day and the Utah Jazz got 58,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),3.1,4.2,1.3,98.55,0.8,205.69700000000003,true_doc6,Michael Dougherty,12/3/2020,Tweet,TRUE
medical_2,correct_15,Bill Gates and other globalists in collaboration with pharmaceutical companies are reportedly working to push tracking bracelets andinvisible tattoosâ to monitor Americans during an impending lockdown,1.1,26-35 (1.20),4 year college/bachelor degree (2.30),"75,000 to less than 100,000 (5.50)",Moderate (2.20),Democrat (1.40),No opinion either way (0.80),Agree (1.50),wrong value (0.30),wrong value (0.30),correct value (0.60),4.5,2.2,1.0,-5.68,0.6,180.515,mostly-false_doc8,Instagram Post,2020-18-03,Instagram Posts,mostly-false
medical_2,correct_15,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsâ,1.0,36-50 (1.50),4 year college/bachelor degree (1.80),"75,000 to less than 100,000 (5.90)",Moderate (1.80),Democrat (1.00),No opinion either way (0.80),Agree (1.80),wrong value (0.40),wrong value (0.50),wrong value (0.40),4.0,0.6,1.0,19.03,0.6,181.096,pants-on-fire_doc10,Bloggers,2020-31-03,Blog Post,pants-on-fire
medical_2,correct_15,the US is developing anantivirusï½ that includes a chip to track your movement,1.1,26-35 (1.00),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (4.20)",Moderate (2.50),Democrat (1.30),Disagree (0.50),Agree (1.70),wrong value (0.50),wrong value (0.40),correct value (0.60),3.5,0.6,1.0,66.74,0.6,183.686,pants-on-fire_doc9,Facebook User,2020-16-03,Facebook Post,pants-on-fire
medical_2,correct_15,COVID19 started because we eat animals,1.0,36-50 (1.50),4 year college/bachelor degree (1.80),"75,000 to less than 100,000 (5.90)",Moderate (1.80),Democrat (1.00),No opinion either way (0.80),Agree (1.80),wrong value (0.40),wrong value (0.50),wrong value (0.40),3.9,2.6,1.0,56.92999999999999,0.8,195.536,mostly-false_doc3,Image,2020-15-03,Instagram Posts,mostly-false
