file,type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,distance,doc_time_elapsed,doc_name,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_label
medical_1,correct_15,Saysspecial military helicopters will spray pesticide against the Corona virus in the skies all over the countryï½,1.0,26-35 (0.90),4 year college/bachelor degree (2.50),"50,000 to less than 75,000 (5.30)",Moderate (2.00),Democrat (1.00),No opinion either way (1.10),Agree (1.90),wrong value (0.30),wrong value (0.30),wrong value (0.30),3.0,0.4,1.0,62.67999999999999,0.6,140.077,false_doc6,Snapchat,2020-23-03,Chain Message,FALSE
medical_1,correct_15,Whole of Italy goes into quarantine,1.3,26-35 (1.10),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (4.30)",Moderate (2.30),Democrat (0.70),No opinion either way (0.80),Agree (1.70),wrong value (0.40),wrong value (0.40),wrong value (0.50),3.4,4.4,1.3,73.85,0.6,145.39999999999998,true_doc7,Blog Post,10/3/2020,Bloggers,TRUE
medical_1,correct_15,Says Spectrum will provide free internet to students during coronavirus school closures,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),4.3,4.3,1.0,42.38,0.7,192.775,true_doc5,Viral Image,2020-13-03,Facebook Post,TRUE
medical_2,correct_15,Whole of Italy goes into quarantine,1.1,26-35 (1.40),4 year college/bachelor degree (1.90),"50,000 to less than 75,000 (5.00)",Moderate (2.50),Democrat (1.00),No opinion either way (0.80),Agree (1.70),correct value (0.60),wrong value (0.40),wrong value (0.20),3.4,4.6,1.1,73.85,0.4,117.586,true_doc7,Blog Post,10/3/2020,Bloggers,TRUE
medical_2,correct_15,Ron Johnson said Americans should go back to work becausedeath is an unavoidable part of lifeï½,1.1,26-35 (1.00),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (4.20)",Moderate (2.50),Democrat (1.30),Disagree (0.50),Agree (1.70),wrong value (0.50),wrong value (0.40),correct value (0.60),3.9,2.8,1.0,72.16,0.6,163.174,half-true_doc1,Facebook Post,2020-31-03,Facebook Posts,half-true
medical_2,correct_15,Saysspecial military helicopters will spray pesticide against the Corona virus in the skies all over the countryâ,1.0,36-50 (1.50),4 year college/bachelor degree (1.80),"75,000 to less than 100,000 (5.90)",Moderate (1.80),Democrat (1.00),No opinion either way (0.80),Agree (1.80),wrong value (0.40),wrong value (0.50),wrong value (0.40),3.0,0.4,1.0,62.67999999999999,0.6,186.526,false_doc6,Snapchat,2020-23-03,Chain Message,FALSE
medical_2,correct_15,Bill Gates told us about the coronavirus in 2015,1.0,26-35 (1.10),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (4.00)",Liberal (2.80),Democrat (1.20),Disagree (0.20),Agree (2.00),wrong value (0.40),correct value (0.70),wrong value (0.30),3.5,3.3,1.0,96.18,0.7,116.045,mostly-true_doc4,Facebook Post,2020-15-03,Facebook Posts,mostly-true
medical_2,correct_15,Says a California surfer wasalone in the oceanâ when he was arrested for violating the stateâs stayathome order,1.1,36-50 (1.50),4 year college/bachelor degree (1.50),"40,000 to less than 50,000 (4.10)",Moderate (2.40),Democrat (1.20),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.30),3.8,3.9,1.0,44.75,0.7,158.38666666666666,mostly-true_doc9,Viral Image,8/4/2020,Viral Image,mostly-true
medical_3,correct_15,Says 80 of novel coronavirus cases are mild,1.1,26-35 (1.40),"Postgrad. or professional schooling, no degree (2.70)","40,000 to less than 50,000 (3.90)",Conservative (1.30),Democrat (0.70),Agree (1.90),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.40),4.0,3.7,1.1,68.84,0.3,59.214,mostly-true_doc5,Chart,9/3/2020,Viral Image,mostly-true
medical_3,correct_15,Three Chinese nationals were apprehended trying to cross our Southern border illegally Each had flulike symptoms Border Patrol quickly quarantined them and assessed any threat of coronavirus,1.3,26-35 (1.30),"Postgrad. or professional schooling, no degree (3.00)","50,000 to less than 75,000 (4.90)",Conservative (1.30),Democrat (0.90),No opinion either way (1.40),Agree (2.00),correct value (0.60),wrong value (0.40),wrong value (0.40),1.8,3.8,1.2,27.15,0.6,343.725,mostly-true_doc7,Charlie Kirk,2020-24-02,Tweet,mostly-true
medical_3,correct_15,North Carolina hospital beds are typically 85 full across the state,1.2,26-35 (0.90),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (3.90)",Moderate (2.30),Democrat (1.10),No opinion either way (1.10),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.30),3.2,3.2,1.1,60.31,0.8,394.87,half-true_doc2,Jeff Jackson,2020-19-03,Tweet,half-true
medical_3,correct_15,Weve got to give the American public a rough estimate of how long we think this is going to take based mostly on the South Korean model which seems to be the trajectory that we are on thankfully and not the Italian model,1.2,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.80)","75,000 to less than 100,000 (5.60)",Moderate (2.50),Democrat (1.00),No opinion either way (1.30),Agree (1.60),wrong value (0.40),wrong value (0.10),wrong value (0.30),4.6,2.3,1.3,44.75,0.9,160.603,half-true_doc4,Brian Fitzpatrick,2020-23-03,Comments On The Radio,half-true
medical_4,correct_15,Weâve got to give the American public a rough estimate of how long we think this is going to take based mostly on the South Korean model which seems to be the trajectory that we are on thankfully and not the Italian model,2.0,26-35 (0.70),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (1.00),Agree (1.90),Agree (1.80),wrong value (0.00),wrong value (0.00),wrong value (0.30),4.6,2.8,2.0,44.75,0.8,214.92400000000004,half-true_doc4,Brian Fitzpatrick,2020-23-03,Comments On The Radio,half-true
